Playlist, Tittle, YouTube_Vidoe_ID, google_doc_link
MANA:SHASTRA(Kannada),26: How to follow Veda,cekY3blMeAc, none
MANA:SHASTRA(Kannada),27: Karma (Request Vs Demand),t2Ho9nr7Hrw, none
MANA:SHASTRA(Kannada),28: Jnaana Yoga Vs Karma Yoga,defghULhnSA, none
MANA:SHASTRA(Kannada),29: Questions & Answers,WGwuh3qvvh4, none
MANA:SHASTRA(Kannada),30: Karma Yoga,HrqAGSNIUis, none
MANA:SHASTRA(Kannada),31: Sthitha Prajna Lakshanagalu-1,tBnm7S6pBVY, none
MANA:SHASTRA(Kannada),32: How to control desires..?,nP1j4Z1aMx4, none
MANA:SHASTRA(Kannada),33: How to Control our Indriyas(ಇಂದ್ರಿಯಗಳನ್ನು ನಿಗ್ರಹ ಮಾಡುವುದು ಹೇಗೆ...?),Ij3cNI26T-8, none
MANA:SHASTRA(Kannada),34: Reasons for mind deterioration(ಮನಸ್ಸಿನ ಅಧಃಪಾಥಕ್ಕೆ ಕಾರಣಗಳು)-1,uUExjt000ik, none
MANA:SHASTRA(Kannada),35: Reasons for mind deterioration(Part-2),2HVOdffGLKE, none
MANA:SHASTRA(Kannada),36: Reasons for mind deterioration(Part-3),OSggajhyZYE, none
MANA:SHASTRA(Kannada),37: Tatva-Viveka-Yoga_Summary,VjSJdR6MFkc, none
MANA:SHASTRA(Kannada),38: Moksha - Chintane(Part-01),oMTNB3lt6uU, none
MANA:SHASTRA(Kannada),39: Moksha - Chintane(Part-02),AOW5_iBB2uU, none
MANA:SHASTRA(Kannada),40: Moksha - Chintane(Part-03),dT73Tq-mU1Y, none
MANA:SHASTRA(Kannada),41: Moksha as per Judaism-Christianity-Islam-Jainism and Buddhism,mRKCjRVx180, none
MANA:SHASTRA(Kannada),42: Moksha as per Shankaracharya(ಮಾಯಾವಾದ),szWXxWGYsZw, none
MANA:SHASTRA(Kannada),43: Moksha as per Ramanujacharya(ಶರೀರವಾದ) & Bhaskaraacharya(ಭೇದಾಭೇದ),K0SDzF-Inb0, none
MANA:SHASTRA(Kannada),44: Moksha as per Madwacharya,200KauOeH-E, none
MANA:SHASTRA(Kannada),45: Swadharma Yoga(Jnaana Yoga vs Karma Yoga),ZveLzdTi2Gw, none
MANA:SHASTRA(Kannada),46: ಕರ್ಮ ಅನಿವಾಯವಾದರೇ ಮೋಕ್ಷದ ಮಾರ್ಗ ಯಾವುದು?,10hKMJucQrg, none
MANA:SHASTRA(Kannada),47: Swadharma Yoga(ಕರ್ತವ್ಯಕರ್ಮ ಮಾಡದೇ ಇದ್ದರೇ ಸಮಾಜದಮೇಲೆ ಆಗುವ ದುಷ್ಪರಿಣಾಮ),Je-019xgn9I, none
MANA:SHASTRA(Kannada),48: Karma Yoga,QUNx1uQYl7w, none
MANA:SHASTRA(Kannada),49: About Jeeva's LifeStyle; Samskara & Swabhaava,vWjc-S1-KVc, none
